Rank,Release Date,Movie,Production Budget,Domestic Gross,Worldwide Gross
296,5/19/2000,Dinosaur, 127500000, 137748063, 356148063
297,2/23/2017,Logan, 127000000, 226277068, 614202315
298,12/18/2014,Night at the Museum: Secret of the Tomb, 127000000, 113746621, 353756621
299,7/13/2011,Harry Potter and the Deathly Hallows: Part II, 125000000, 381193157, 1328766590
300,11/19/2014,The Hunger Games: Mockingjay - Part 1, 125000000, 337135885, 766575131
301,11/15/2001,Harry Potter and the Sorcererâs Stone, 125000000, 317871467, 965054122
302,12/4/2019,Jumanji: The Next Level, 125000000, 316831246, 798332900
303,11/17/2010,Harry Potter and the Deathly Hallows: Part I, 125000000, 296131568, 952601389
304,5/19/2006,The Da Vinci Code, 125000000, 217536138, 767820459
305,4/30/2003,X-Men 2, 125000000, 214949694, 406348630
306,4/21/2011,Fast Five, 125000000, 210031325, 630163454
307,8/8/2014,Teenage Mutant Ninja Turtles, 125000000, 191204754, 485004754
308,12/16/2011,Sherlock Holmes: A Game of Shadows, 125000000, 186848418, 535663443
309,5/27/2004,The Day After Tomorrow, 125000000, 186740799, 555840117
310,3/17/2017,The Boss Baby, 125000000, 175003033, 527965936
311,4/1/2010,Clash of the Titans, 125000000, 163214888, 493214888
312,10/12/2016,Trolls, 125000000, 153707064, 343242613
313,5/19/1998,Godzilla, 125000000, 136314294, 376000000
314,5/30/2012,Prometheus, 125000000, 126477084, 402448265
315,8/10/2012,The Bourne Legacy, 125000000, 113203870, 280355920
316,6/20/1997,Batman & Robin, 125000000, 107325195, 238317814
317,7/5/2018,Skyscraper, 125000000, 68420120, 304868961
318,1/3/2020,The Call of the Wild, 125000000, 62342368, 107360936
319,8/3/2012,Total Recall, 125000000, 58877969, 211856088
320,12/21/2016,Assassinâs Creed, 125000000, 54647948, 240759682
321,12/29/2016,Monster Trucks, 125000000, 33370166, 61642798
322,8/27/1999,The 13th Warrior, 125000000, 32698899, 61698899
323,11/17/2000,How the Grinch Stole Christmas, 123000000, 260348825, 345445403
324,5/24/2000,Mission: Impossible 2, 120000000, 215409889, 549588516
325,6/30/2000,The Perfect Storm, 120000000, 182618434, 328711434
326,7/20/2016,Jason Bourne, 120000000, 162192920, 416168316
327,2/10/2022,Uncharted, 120000000, 139256206, 373448280
328,6/15/2007,Fantastic Four: Rise of the Silver Surfer, 120000000, 131921738, 289480691
329,11/21/2012,Life of Pi, 120000000, 124987022, 619310368
330,2/16/2007,Ghost Rider, 120000000, 115802596, 229545589
331,4/9/2018,Rampage, 120000000, 101028233, 427947217
332,6/27/2003,Charlie's Angels: Full Throttle, 120000000, 100814328, 227163273
333,8/9/2013,Elysium, 120000000, 93050117, 286192091
334,4/19/2013,Oblivion, 120000000, 89107235, 287916633
335,3/24/2017,Power Rangers, 120000000, 85364450, 142531552
336,7/19/2002,Stuart Little 2, 120000000, 64956806, 166000000
337,2/12/2014,RoboCop, 120000000, 58607007, 242981799
338,6/11/2004,The Chronicles of Riddick, 120000000, 57712751, 107212751
339,8/5/2015,The Fantastic Four, 120000000, 56117548, 167849187
340,5/9/2008,Speed Racer, 120000000, 43945766, 93394462
341,7/22/2005,The Island, 120000000, 35818913, 163018913
342,12/17/2010,How Do You Know?, 120000000, 30212620, 49628177
343,11/9/2018,Outlaw King, 120000000, 0, 0
344,6/23/2010,Knight and Day, 117000000, 76423035, 258751370
345,1/25/2021,Tang Ren Jie Tan An 3, 117000000, 0, 699084069
346,10/2/2018,Venom, 116000000, 213511408, 856081053
347,5/19/1999,Star Wars Ep. I: The Phantom Menace, 115000000, 474544677, 1027044677
348,5/19/2005,Star Wars Ep. III: Revenge of the Sith, 115000000, 380270577, 848998877
349,5/16/2002,Star Wars Ep. II: Attack of the Clones, 115000000, 310676740, 656695615
350,11/2/2001,Monsters Inc., 115000000, 290149425, 560483719
351,7/26/2013,The Wolverine, 115000000, 132556852, 416456852
352,2/7/1997,Danteâs Peak, 115000000, 67163857, 178200000
353,4/6/2016,The Huntsman: Winterâs War, 115000000, 48003015, 165149302
354,6/14/2002,Windtalkers, 115000000, 40914068, 77628265
355,3/6/2019,Triple Frontier, 115000000, 0, 0
356,7/4/2008,AstÃ©rix aux Jeux Olympiques, 113500000, 999811, 132999811
357,12/24/2010,Gulliver's Travels, 112000000, 42779261, 232017848
358,12/8/2017,Ferdinand, 111000000, 84410380, 289838913
359,5/11/2018,Deadpool 2, 110000000, 324591735, 786362370
360,10/3/2013,Gravity, 110000000, 274092705, 688214291
361,12/22/2006,Night at the Museum, 110000000, 250863268, 579446407
362,9/30/2021,Venom: Let There be Carnage, 110000000, 213550366, 501600379
363,6/10/2005,Mr. and Mrs. Smith, 110000000, 186336279, 486124090
364,5/27/2015,San Andreas, 110000000, 155190832, 456258539
365,7/29/2011,The Smurfs, 110000000, 142614158, 563749323
366,6/27/2007,Live Free or Die Hard, 110000000, 134529403, 382288147
367,3/18/2015,The Divergent Series: Insurgent, 110000000, 130179072, 295075882
368,12/10/2004,Ocean's Twelve, 110000000, 125531634, 362989076
369,12/19/1997,Tomorrow Never Dies, 110000000, 125304276, 339504276
370,6/28/2000,The Patriot, 110000000, 113330342, 215300000
371,3/7/2014,300: Rise of an Empire, 110000000, 106580051, 330780051
372,12/17/2004,The Aviator, 110000000, 102608827, 208370892
373,12/21/2016,Passengers, 110000000, 100014699, 302239672
374,1/14/2011,The Green Hornet, 110000000, 98780042, 229155503
375,9/21/2016,Miss Peregrineâs Home for Peculiar Children, 110000000, 87242834, 295986876
376,10/7/2011,Real Steel, 110000000, 85463309, 263880341
377,6/12/2019,Men in Black: International, 110000000, 80001807, 253020464
378,6/11/2010,The A-Team, 110000000, 77222099, 177241171
379,7/31/2013,The Smurfs 2, 110000000, 71017784, 348547523
380,3/9/2016,The Divergent Series: Allegiant, 110000000, 66184051, 172022517
381,6/12/2009,The Taking of Pelham 123, 110000000, 65452312, 152364370
382,10/25/2013,Ender's Game, 110000000, 61737191, 127983283
383,4/2/2004,Home on the Range, 110000000, 50026353, 76482461
384,6/13/1997,Speed 2: Cruise Control, 110000000, 48097081, 150468000
385,5/6/2005,Kingdom of Heaven, 110000000, 47398413, 218674938
386,3/23/2017,Ghost in the Shell, 110000000, 40563557, 167910690
387,6/16/2004,Around the World in 80 Days, 110000000, 24004159, 72004159
388,11/21/2003,Dr. Seussâ The Cat in the Hat, 109000000, 101018283, 133818283
389,12/25/2001,Ali, 109000000, 58183966, 87683966
390,9/30/2015,The Martian, 108000000, 228433663, 653609107
391,11/20/2016,Allied, 106000000, 40098064, 119266661
392,7/16/2004,I Robot, 105000000, 144801023, 348629585
393,12/17/1999,Stuart Little, 105000000, 140015224, 298815224
394,11/25/2009,The Princess and the Frog, 105000000, 104400899, 270997378
395,3/7/2008,10000 B.C., 105000000, 94784201, 269065678
396,7/1/2016,Ice Age: Collision Course, 105000000, 64063008, 402156682
397,4/27/2001,Town & Country, 105000000, 6712451, 10364769
398,9/19/2017,Kingsman: The Golden Circle, 104000000, 100234838, 408803696
399,6/9/2000,Gone in 60 Seconds, 103300000, 101643008, 232643008
400,5/4/2000,Gladiator, 103000000, 187683805, 456435588
401,5/23/2013,The Hangover 3, 103000000, 112200072, 362000072
402,3/9/2018,A Wrinkle in Time, 103000000, 100478608, 133214549
403,7/1/2009,Public Enemies, 102500000, 97104620, 212282709
404,11/17/2006,Casino Royale, 102000000, 167365000, 594420283
405,6/21/2002,Minority Report, 102000000, 132024714, 358824714
406,12/13/2018,Bumblebee, 102000000, 127195589, 465195589
407,10/26/2012,Cloud Atlas, 102000000, 27108272, 130673154
408,11/15/2002,Harry Potter and the Chamber of Secrets, 100000000, 262424882, 875454054
409,7/2/1991,Terminator 2: Judgment Day, 100000000, 203464105, 515390883
410,6/16/1995,Batman Forever, 100000000, 184031112, 336529144
411,7/27/2001,Planet of the Apes, 100000000, 180011740, 362211740
412,11/19/2004,National Treasure, 100000000, 173005002, 331323410
413,12/25/2012,Django Unchained, 100000000, 162805434, 449841566
414,12/25/2019,1917, 100000000, 159227644, 370603379
415,12/22/2010,Little Fockers, 100000000, 148438600, 310650574
416,7/15/1994,True Lies, 100000000, 146282411, 365300000
417,11/2/2007,American Gangster, 100000000, 130164645, 267985456
418,9/18/2009,Cloudy with a Chance of Meatballs, 100000000, 124870275, 236827677
419,8/6/2010,The Other Guys, 100000000, 119219978, 170936470
420,12/17/2004,Lemony Snicket's A Series of Unfortunate Events, 100000000, 118627117, 212956024
421,12/25/2013,The Wolf of Wall Street, 100000000, 116949183, 389918903
422,5/24/2013,Epic, 100000000, 107518682, 262794441
423,6/21/1996,Eraser, 100000000, 101295562, 234400000
424,6/21/1996,The Hunchback of Notre Dame, 100000000, 100138851, 325500000
425,12/15/2000,The Emperor's New Groove, 100000000, 89630573, 169630573
426,8/15/2012,The Expendables 2, 100000000, 85028192, 311979256
427,10/16/2009,Where the Wild Things Are, 100000000, 77233467, 99123656
428,12/15/2006,Eragon, 100000000, 75030163, 249488115
429,7/23/2014,Hercules, 100000000, 72688614, 243388614
430,12/10/2010,The Tourist, 100000000, 67631157, 278731369
431,11/24/1999,End of Days, 100000000, 66889043, 212026975
432,12/25/2019,Spies in Disguise, 100000000, 66757013, 165138481
433,6/11/2004,The Stepford Wives, 100000000, 59475623, 96150482
434,6/8/2007,Surfâs Up, 100000000, 58867694, 145395745
435,12/8/2006,Blood Diamond, 100000000, 57377916, 171377916
436,11/7/2019,Midway, 100000000, 56846802, 126829063
437,9/24/2010,Legend of the Guardians: The Owls of Ga'Hoole, 100000000, 55675313, 139716717
438,11/7/1997,Starship Troopers, 100000000, 54768952, 121100000
439,6/5/2009,Land of the Lost, 100000000, 49438370, 69548641
440,12/18/2003,Peter Pan, 100000000, 48417850, 95255485
441,3/15/2019,Wonder Park, 100000000, 45216793, 115112118
442,7/23/2004,Catwoman, 100000000, 40202379, 82078046
443,8/14/2014,The Expendables 3, 100000000, 39322544, 209461378
444,12/8/2021,West Side Story, 100000000, 38527273, 74832826
445,11/27/2002,Treasure Planet, 100000000, 38120554, 91800000
446,12/22/2021,The Kingâs Man, 100000000, 37176373, 121310096
447,3/12/2010,Green Zone, 100000000, 35497337, 97523020
448,10/13/2017,Geostorm, 100000000, 33700160, 220796009
449,12/2/2015,Point Break, 100000000, 28782481, 126704591
450,12/17/2019,Cats, 100000000, 27166770, 75486351
451,11/26/2015,In the Heart of the Sea, 100000000, 25020758, 89693309
452,4/18/2014,Transcendence, 100000000, 23022309, 103039258
453,2/18/2005,Son of the Mask, 100000000, 17018422, 59918422
454,12/5/2018,Mortal Engines, 100000000, 15951040, 85480271
455,2/3/2021,Chaos Walking, 100000000, 13287908, 27075660
456,10/13/2021,The Last Duel, 100000000, 10853945, 30055233
457,8/16/2002,The Adventures of Pluto Nash, 100000000, 4411102, 7094995
458,1/20/2012,Jin lÃ­ng shÃ­ san chai, 100000000, 311434, 98227017
459,12/9/2020,The Midnight Sky, 100000000, 0, 75615
460,6/12/2020,Artemis Fowl, 100000000, 0, 0
461,11/5/2015,The Peanuts Movie, 99000000, 130178411, 250091610
462,2/6/2019,The LEGO Movie 2: The Second Part, 99000000, 105806508, 190131036
463,11/21/2018,Robin Hood, 99000000, 30824628, 85210012
464,5/4/2001,The Mummy Returns, 98000000, 202007640, 435040395
465,11/14/2019,Ford v. Ferrari, 97600000, 117624357, 224418748
466,12/20/2002,Gangs of New York, 97000000, 77730500, 183124621
467,5/4/2017,Alien: Covenant, 97000000, 74262031, 238521247
468,3/6/2015,Cinderella, 95000000, 201151353, 542351353
469,6/27/2012,Ice Age: Continental Drift, 95000000, 161321843, 879765137
470,12/28/2001,Black Hawk Down, 95000000, 108638745, 159691085
471,5/27/2010,Sex and the City 2, 95000000, 95347692, 294680778
472,2/12/2010,Percy Jackson & the Olympians: The Lightning Thief, 95000000, 88768303, 223050874
473,8/10/2012,The Campaign, 95000000, 86907746, 104907746
474,11/12/2010,Unstoppable, 95000000, 81562942, 165720921
475,5/9/1997,The Fifth Element, 95000000, 63570862, 263893838
476,3/31/2000,The Road to El Dorado, 95000000, 50802661, 65700000
477,12/11/2009,The Lovely Bones, 95000000, 44114232, 94894448
478,6/30/2016,Ben-Hur, 95000000, 26410477, 91669648
479,12/19/2014,Seventh Son, 95000000, 17725785, 108874967
480,5/30/2003,Finding Nemo, 94000000, 380529370, 936094852
481,12/17/2003,The Lord of the Rings: The Return of the King, 94000000, 377845905, 1120214046
482,12/18/2002,The Lord of the Rings: The Two Towers, 94000000, 342548984, 919148764
483,6/15/2001,Lara Croft: Tomb Raider, 94000000, 131144183, 273330185
484,1/29/2015,Kingsman: The Secret Service, 94000000, 128261724, 404561724
485,12/19/2001,The Lord of the Rings: The Fellowship of the Ring, 93000000, 315544750, 891216824
486,7/18/2001,Jurassic Park III, 93000000, 181166115, 365900000
487,8/5/2011,Rise of the Planet of the Apes, 93000000, 176760185, 470986200
488,2/14/2008,The Spiderwick Chronicles, 92500000, 71195053, 162839667
489,10/22/2004,The Incredibles, 92000000, 261441092, 631441092
490,2/6/2013,A Good Day to Die Hard, 92000000, 67349198, 304249198
491,4/9/2004,The Alamo, 92000000, 22406362, 23911362
492,12/22/1995,Cutthroat Island, 92000000, 10017322, 18517322
493,12/19/2013,The Secret Life of Walter Mitty, 91000000, 58236838, 187861183
494,4/14/2023,65, 91000000, 0, 0
495,12/20/2017,Jumanji: Welcome to the Jungle, 90000000, 404508916, 961613199
496,7/1/1997,Men in Black, 90000000, 250690539, 587790539
497,11/19/1999,Toy Story 2, 90000000, 245852179, 511358276
498,8/3/2001,Rush Hour 2, 90000000, 226164286, 347425832
499,12/25/2009,Sherlock Holmes, 90000000, 209028679, 498438212
500,1/15/2020,Bad Boys For Life, 90000000, 204417855, 424536881
501,7/1/2009,Ice Age: Dawn of the Dinosaurs, 90000000, 196573705, 886686817
502,12/12/2018,Spider-Man: Into The Spider-Verse 3D, 90000000, 190173195, 375084923
503,7/21/2000,What Lies Beneath, 90000000, 155464351, 288693989
504,2/13/2020,Sonic The Hedgehog, 90000000, 146066470, 304925580
505,4/8/2011,Rio, 90000000, 143619809, 487519809
506,7/24/2019,Once Upon a Timeâ¦in Hollywood, 90000000, 142502728, 377562039
507,10/6/2006,The Departed, 90000000, 132384315, 289660619
508,11/3/2000,Charlie's Angels, 90000000, 125305545, 259736090
509,6/19/1998,Mulan, 90000000, 120620254, 303500000
510,8/13/2008,Tropic Thunder, 90000000, 110515313, 191145256
511,12/20/2011,The Girl with the Dragon Tattoo, 90000000, 102515793, 239373970
512,7/11/1997,Contact, 90000000, 100920329, 165900000
513,6/6/2008,You Don't Mess With the Zohan, 90000000, 100018837, 202910991
514,5/19/1995,Die Hard: With a Vengeance, 90000000, 100012499, 366101666
515,9/12/2016,The Magnificent Seven, 90000000, 93432655, 162122642
516,12/18/2015,Alvin and the Chipmunks: The Road Chip, 90000000, 85886987, 249517956
517,6/8/2001,Atlantis: The Lost Empire, 90000000, 84052762, 186049020
518,12/25/2008,Valkyrie, 90000000, 83107829, 203932174
519,7/16/2015,Pixels, 90000000, 78765986, 244041804
520,6/29/2001,Artificial Intelligence: AI, 90000000, 78616689, 235900000
521,11/26/2003,The Haunted Mansion, 90000000, 75817994, 155750628
522,8/4/2000,Hollow Man, 90000000, 73209340, 191200000
523,4/22/2005,The Interpreter, 90000000, 72708161, 162753837
524,8/7/2013,Percy Jackson: Sea of Monsters, 90000000, 68559554, 200859554
525,7/25/2003,Lara Croft: Tomb Raider: The Cradle of Life, 90000000, 65653758, 157092943
526,5/27/2016,Now You See Me 2, 90000000, 65075540, 328325007
527,11/21/2001,Spy Game, 90000000, 62362560, 143049560
528,4/4/1997,The Saint, 90000000, 61363304, 169400000
529,3/10/2000,Mission to Mars, 90000000, 60874615, 106000000
530,3/6/2018,Tomb Raider, 90000000, 58250803, 273477501
531,12/17/1999,Bicentennial Man, 90000000, 58220776, 87420776
532,7/7/2004,King Arthur, 90000000, 51877963, 203653524
533,4/25/1997,Volcano, 90000000, 47546796, 120100000
534,2/9/2022,Death on the Nile, 90000000, 45447818, 131767149
535,3/26/1997,The Devil's Own, 90000000, 42885593, 140900000
536,7/19/2002,K-19: The Widowmaker, 90000000, 35168966, 65716126
537,8/19/2011,Conan the Barbarian, 90000000, 21295021, 63356133
538,10/21/2011,The Three Musketeers, 90000000, 20377913, 139877913
539,4/21/2017,The Promise, 90000000, 8224288, 10551417
540,11/24/2010,The Nutcracker in 3D, 90000000, 195459, 20466016
541,12/13/2017,Bright, 90000000, 0, 0
542,5/14/2021,Army of the Dead, 90000000, 0, 0
543,5/10/1996,Twister, 88000000, 241688385, 495700000
544,6/3/2005,Cinderella Man, 88000000, 61649911, 105021488
545,9/11/2018,The Predator, 88000000, 51024708, 159487563
546,7/21/2021,Snake Eyes: G.I. Joe Origins, 88000000, 28264325, 34666981
547,7/8/2005,Fantastic Four, 87500000, 154696080, 333132750
548,2/9/2001,Hannibal, 87000000, 165092266, 350100280
549,7/25/2003,Seabiscuit, 86000000, 120277854, 148715342
550,4/14/2022,Bullet Train, 85900000, 0, 0
551,8/14/2020,Project Power, 85100000, 0, 0
552,12/22/2000,Cast Away, 85000000, 233632142, 427230516
553,11/17/2006,Happy Feet, 85000000, 198000317, 385000317
554,12/7/2001,Ocean's Eleven, 85000000, 183417150, 450728529
555,7/23/2004,The Bourne Supremacy, 85000000, 176087450, 311001124
556,7/25/1997,Air Force One, 85000000, 172956409, 315268353
557,12/1/2021,Sing 2, 85000000, 161859220, 396044668
558,4/2/2009,Fast & Furious, 85000000, 155064265, 359347833
559,3/14/2008,Horton Hears a Who, 85000000, 154529439, 299477886
560,3/21/2014,Divergent, 85000000, 150947895, 276014965
561,9/27/2012,Hotel Transylvania, 85000000, 148313048, 378223189
562,4/3/2019,Shazam!, 85000000, 140371656, 363664533
563,11/21/2007,Enchanted, 85000000, 127706877, 340384141
564,2/8/2012,Safe House, 85000000, 126181630, 207884401
565,7/20/2007,I Now Pronounce You Chuck and Larry, 85000000, 119725280, 185708462
566,6/8/2007,Ocean's Thirteen, 85000000, 117144465, 311744465
567,12/25/2009,Itâs Complicated, 85000000, 112735375, 224614744
568,11/20/1998,Enemy of the State, 85000000, 111549836, 250649836
569,9/29/2006,Open Season, 85000000, 85105259, 191932158
570,11/4/2011,Tower Heist, 85000000, 78046570, 150422946
571,11/22/2000,102 Dalmatians, 85000000, 66941559, 66941559
572,3/15/2012,Mirror Mirror, 85000000, 64935167, 173613482
573,12/8/2006,The Holiday, 85000000, 63280000, 204920447
574,6/15/2006,The Fast and the Furious: Tokyo Drift, 85000000, 62615510, 157794205
575,12/9/2005,Memoirs of a Geisha, 85000000, 57010853, 161510853
576,3/16/2001,Enemy at the Gates, 85000000, 51396781, 96971293
577,6/18/1993,Last Action Hero, 85000000, 50016394, 137298489
578,9/26/2003,The Rundown, 85000000, 47641743, 80831893
579,11/11/2011,Arthur Christmas, 85000000, 46462469, 148168160
580,1/19/2017,xXx: Return of Xander Cage, 85000000, 44898413, 345033359
581,11/13/1998,Meet Joe Black, 85000000, 44650003, 44650003
582,7/30/2010,Cats & Dogs: The Revenge of Kitty Galore, 85000000, 43585753, 113026383
583,2/8/2002,Collateral Damage, 85000000, 40048332, 78353508
584,3/15/2002,Showtime, 85000000, 37948765, 78948765
585,6/30/1995,Judge Dredd, 85000000, 34687912, 113487912
586,3/2/2007,Zodiac, 85000000, 33080084, 83080084
587,8/13/2010,Scott Pilgrim vs. The World, 85000000, 32841100, 49286548
588,3/28/2003,The Core, 85000000, 31111260, 74120792
589,5/9/1997,Father's Day, 85000000, 28681080, 35681080
590,12/11/2017,The Greatest Showman, 84000000, 174340174, 433606178
591,6/14/2002,Scooby-Doo, 84000000, 153294164, 276294164
592,7/28/2000,Nutty Professor II: The Klumps, 84000000, 123307945, 166307945
593,7/19/2013,RED 2, 84000000, 53262560, 141507355
594,6/23/2006,Click, 82500000, 137355633, 237685089
595,12/15/2006,Charlotte\'s Web, 82500000, 82985708, 143985708
596,2/14/2008,Jumper, 82500000, 80172128, 222640812
597,7/11/2008,Hellboy II: The Golden Army, 82500000, 75986503, 160388063
598,5/27/2005,The Longest Yard, 82000000, 158119460, 191558505
599,8/13/2010,The Expendables, 82000000, 103068524, 268268174
600,2/5/2020,Birds of Prey (And the Fantabulous Emancipation…, 82000000, 84158461, 201852140